
(0) Date, (1) Northern_Hemisphere, (2) Beaufort_Sea, (3) Chukchi_Sea, (4) East_Siberian_Sea, (5) Laptev_Sea, (6) Kara_Sea, (7) Barents_Sea, (8) Greenland_Sea, (9) Baffin_Bay_Gulf_of_St._Lawrence, (10) Canadian_Archipelago, (11) Hudson_Bay, (12) Central_Arctic, (13) Bering_Sea, (14) Baltic_Sea, (15) Sea_of_Okhotsk, (16) Yellow_Sea, (17) Cook_Inlet
 2006001,13034723.95, 1069710.81,  966006.16, 1087102.72,  897773.37,  901663.34,  432629.77,  550158.41,  831365.98,  852715.31, 1260715.19, 3225371.74,  639590.07,   11408.53,  287369.54,   12152.54,    6420.96
 2006002,13034723.95, 1069710.81,  966006.16, 1087102.72,  897773.37,  901663.34,  432629.77,  550158.41,  831365.98,  852715.31, 1260715.19, 3225371.74,  639590.07,   11408.53,  287369.54,   12152.54,    6420.96
 2006003,13170663.24, 1069710.81,  966006.16, 1087102.72,  897773.37,  901663.34,  432629.77,  595342.42,  855907.47,  852715.31, 1260779.00, 3240507.71,  666030.40,   11408.53,  311943.21,   12152.54,    6420.96
 2006004,13409715.53, 1069710.81,  966006.16, 1087102.72,  897773.37,  906439.04,  458823.88,  605747.86,  980253.85,  852715.31, 1260779.00, 3240326.47,  683780.08,   11408.53,  372868.02,    6989.96,    6420.96
 2006005,13416779.12, 1069710.81,  966006.16, 1087102.72,  897773.37,  908697.29,  474574.82,  600826.71,  970631.09,  852715.31, 1260779.00, 3240326.47,  683795.38,   21311.46,  363515.34,    8240.73,    8202.95
 2006006,13465566.44, 1069710.81,  966006.16, 1087102.72,  897773.37,  909717.79,  474574.82,  595938.39,  992651.97,  852715.31, 1260779.00, 3240326.47,  685430.49,   21327.46,  385908.77,   14830.45,    8202.95
 2006007,13510769.37, 1069710.81,  966006.16, 1087102.72,  897773.37,  927602.17,  474574.82,  588978.00, 1000360.27,  852715.31, 1260779.00, 3240326.47,  690278.54,   21327.46,  407631.37,   14830.45,    8202.95
 2006008,13536736.84, 1069710.81,  966006.16, 1087102.72,  897773.37,  927602.17,  474574.82,  590029.18, 1005790.38,  852715.31, 1260779.00, 3240326.47,  692832.54,   21327.46,  424563.54,   14830.45,    8202.95
 2006009,13536887.64, 1069710.81,  966006.16, 1087102.72,  897773.37,  927602.17,  474574.82,  590029.18, 1005790.38,  852715.31, 1260779.00, 3240326.47,  692832.54,   21478.25,  424563.54,   14830.45,    8202.95
 2006010,13505426.35, 1069710.81,  966006.16, 1087102.72,  897773.37,  933999.29,  448185.27,  588279.64, 1016857.87,  852715.31, 1260779.00, 3217380.82,  705348.17,   21493.81,  414191.19,   14830.45,    8202.95
 2006011,13493030.93, 1069710.81,  966006.16, 1087102.72,  897773.37,  933999.29,  448185.27,  588279.64, 1013091.28,  852715.31, 1260779.00, 3217380.82,  696719.33,   21493.81,  414191.19,   14830.45,    8202.95
 2006012,13493030.93, 1069710.81,  966006.16, 1087102.72,  897773.37,  933999.29,  448185.27,  588279.64, 1013091.28,  852715.31, 1260779.00, 3217380.82,  696719.33,   21493.81,  414191.19,   14830.45,    8202.95
 2006013,13513349.80, 1069710.81,  966006.16, 1087102.72,  897773.37,  933999.29,  448185.27,  588279.64, 1019119.02,  852715.31, 1260779.00, 3217380.82,  701161.76,   21493.81,  424039.90,   14830.45,    8202.95
 2006014,13446924.78, 1069710.81,  966006.16, 1087102.72,  897773.37,  926209.80,  362768.82,  588279.64, 1019119.02,  852715.31, 1260779.00, 3217380.82,  716981.95,   21343.02,  435151.41,   14830.45,    8202.95
 2006015,13308863.85, 1069710.81,  966006.16, 1087102.72,  897773.37,  911688.79,  331107.77,  531437.67, 1001871.73,  852715.31, 1260779.00, 3176716.16,  734972.09,   21343.02,  440036.32,   14830.45,    8202.95
 2006016,13308863.85, 1069710.81,  966006.16, 1087102.72,  897773.37,  911688.79,  331107.77,  531437.67, 1001871.73,  852715.31, 1260779.00, 3176716.16,  734972.09,   21343.02,  440036.32,   14830.45,    8202.95
 2006017,13308863.85, 1069710.81,  966006.16, 1087102.72,  897773.37,  911688.79,  331107.77,  531437.67, 1001871.73,  852715.31, 1260779.00, 3176716.16,  734972.09,   21343.02,  440036.32,   14830.45,    8202.95
 2006018,13414238.85, 1069710.81,  966006.16, 1087102.72,  897773.37,  914018.57,  340934.92,  570698.60, 1035804.97,  852715.31, 1260779.00, 3176716.16,  768298.66,   21343.02,  425690.22,   14830.45,    8941.25
 2006019,13437394.90, 1069710.81,  966006.16, 1087102.72,  897773.37,  914018.57,  340934.92,  576231.00, 1055541.81,  852715.31, 1260779.00, 3176716.16,  758139.56,   21343.02,  427817.58,   14830.45,    8941.25
 2006020,13430368.56, 1069710.81,  966006.16, 1087102.72,  897773.37,  914018.57,  340934.92,  576231.00, 1055541.81,  852715.31, 1260779.00, 3176716.16,  758139.56,   21343.02,  427817.58,    7804.11,    8941.25
 2006021,13533704.79, 1069710.81,  966006.16, 1087102.72,  897773.37,  914018.57,  353927.55,  576231.00, 1081367.95,  852715.31, 1260779.00, 3176716.16,  776850.80,   36921.08,  458045.75,    7804.11,    8941.25
 2006022,13575997.45, 1069710.81,  966006.16, 1087102.72,  897773.37,  914018.57,  366647.59,  576231.00, 1068218.88,  852715.31, 1260779.00, 3176716.16,  783665.16,   44123.23,  486750.93,    7804.11,    8941.25
 2006023,13643554.58, 1069710.81,  966006.16, 1087102.72,  897773.37,  915282.18,  371538.48,  568271.59, 1076608.45,  852715.31, 1260779.00, 3176716.16,  790729.13,   44138.20,  489342.65,   13093.58,    8941.25
 2006024,13473190.23, 1069710.81,  966006.16, 1087102.72,  897773.37,  897489.52,  310538.84,  516604.96, 1087283.24,  852715.31, 1260779.00, 3109874.09,  817517.16,   53849.51,  470476.54,   11722.22,    8941.25
 2006025,13473190.23, 1069710.81,  966006.16, 1087102.72,  897773.37,  897489.52,  310538.84,  516604.96, 1087283.24,  852715.31, 1260779.00, 3109874.09,  817517.16,   53849.51,  470476.54,   11722.22,    8941.25
 2006026,13471592.91, 1069710.81,  966006.16, 1087102.72,  897773.37,  897489.52,  310538.84,  514607.17, 1087683.71,  852715.31, 1260779.00, 3109874.09,  817517.16,   53849.51,  470476.54,   11722.22,    8941.25
 2006027,13601277.31, 1069710.81,  966006.16, 1087102.72,  897773.37,  897489.52,  310538.84,  514607.17, 1087683.71,  852715.31, 1260779.00, 3109874.09,  902787.94,   53849.51,  514890.15,   11722.22,    8941.25
 2006028,13764859.50, 1069710.81,  966006.16, 1087102.72,  897773.37,  913503.91,  321048.81,  531055.04, 1177915.69,  852715.31, 1260779.00, 3137037.81,  902787.94,   54655.36,  514890.15,   11722.22,    8941.25
 2006029,13766950.31, 1069710.81,  966006.16, 1087102.72,  897773.37,  913503.91,  321048.81,  531055.04, 1178077.49,  852715.31, 1260779.00, 3137037.81,  902787.94,   56584.37,  514890.15,   11722.22,    8941.25
 2006030,13799695.17, 1069710.81,  966006.16, 1087102.72,  897773.37,  914180.23,  337149.48,  558938.58, 1159250.94,  852715.31, 1260779.00, 3156689.93,  869880.93,   56584.37,  535055.94,   11722.22,    8941.25
 2006031,13905098.26, 1069710.81,  966006.16, 1087102.72,  897773.37,  914180.23,  390331.85,  556940.31, 1160467.93,  852715.31, 1260779.00, 3169296.68,  885386.36,   56584.37,  556086.91,   15581.08,    8941.25
 2006032,13906557.62, 1069710.81,  966006.16, 1087102.72,  897773.37,  914180.23,  390331.85,  556940.31, 1160467.93,  852715.31, 1260779.00, 3169296.68,  885386.36,   56584.37,  556086.91,   17040.43,    8941.25
